comment,score,created_utc
"Some implied moves for earnings next week( up or down degenerates) -136 companies reporting:

[$NVDA](https://x.com/search?q=%24NVDA&src=cashtag_click) 9.8%  
[$SNOW](https://x.com/search?q=%24SNOW&src=cashtag_click) 11.6%  
[$PANW](https://x.com/search?q=%24PANW&src=cashtag_click) 8.8%  
[$WMT](https://x.com/search?q=%24WMT&src=cashtag_click) 5.3%  
[$LOW](https://x.com/search?q=%24LOW&src=cashtag_click) 4.3%  
[$TGT](https://x.com/search?q=%24TGT&src=cashtag_click) 9.0%  
[$ESTC](https://x.com/search?q=%24ESTC&src=cashtag_click) 16.9%  
[$ROST](https://x.com/search?q=%24ROST&src=cashtag_click) 6.3%  
[$NTAP](https://x.com/search?q=%24NTAP&src=cashtag_click) 8.0%  
[$BIDU](https://x.com/search?q=%24BIDU&src=cashtag_click) 6.4%  
[$PDD](https://x.com/search?q=%24PDD&src=cashtag_click) 9.4%  
[$DE](https://x.com/search?q=%24DE&src=cashtag_click) 5.5%  
[$JACK](https://x.com/search?q=%24JACK&src=cashtag_click) 15.9%  
[$TJX](https://x.com/search?q=%24TJX&src=cashtag_click) 4.7%  
[$WIX](https://x.com/search?q=%24WIX&src=cashtag_click) 13.3%  
[$DY](https://x.com/search?q=%24DY&src=cashtag_click) 14.4%  
[$WSM](https://x.com/search?q=%24WSM&src=cashtag_click) 13.7%  
[$INTU](https://x.com/search?q=%24INTU&src=cashtag_click) 5.5%  
[$GAP](https://x.com/search?q=%24GAP&src=cashtag_click) 13.2%  
[$CPRT](https://x.com/search?q=%24CPRT&src=cashtag_click) 7.2%   
[$MDT](https://x.com/search?q=%24MDT&src=cashtag_click) 3.7%  
[$ZTO](https://x.com/search?q=%24ZTO&src=cashtag_click) 11.0%  
[$NIO](https://x.com/search?q=%24NIO&src=cashtag_click) 11.8%  
[$FUTU](https://x.com/search?q=%24FUTU&src=cashtag_click) 10.1%  
[$XPEV](https://x.com/search?q=%24XPEV&src=cashtag_click) 11.2%  
[$SCVL](https://x.com/search?q=%24SCVL&src=cashtag_click) 13.3%  
[$SYM](https://x.com/search?q=%24SYM&src=cashtag_click) 19.7%",81,1731858258.0
"since I just did the work; you can copy paste this into a notepad file, save and import to tradingview watchlist for all the tickers in order of earnings:

NASDAQ:BTBT,NASDAQ:BTDR,NASDAQ:EH,NYSE:BRC,NASDAQ:TWST,NASDAQ:MOND,NASDAQ:CLRB,NASDAQ:SYM,NASDAQ:TCOM,NYSE:BRBR,NYSE:TUYA,NYSE:ACM,NASDAQ:ZENV,NASDAQ:IIIV,NASDAQ:NRXP,NYSE:WMT,NASDAQ:WKHS,NYSE:LOW,NYSE:XPEV,NYSE:MDT,NASDAQ:FUTU,NYSE:VIPS,NYSE:VIK,NASDAQ:ATAT,NYSE:MYTE,NASDAQ:POWL,NYSE:AZEK,NYSE:KEYS,NYSE:ZTO,NYSE:LZB,NYSE:KORE,NYSE:DLB,NYSE:DNMR,NASDAQ:SBLK,NASDAQ:QFIN,NYSE:NIO,NYSE:TGT,NYSE:ZIM,NYSE:TJX,NASDAQ:WIX,NYSE:DY,NYSE:WSM,NYSE:BERY,NASDAQ:GLBE,NYSE:RERE,NASDAQ:NVDA,NYSE:SNOW,NASDAQ:PANW,NASDAQ:JACK,NYSE:CPA,NYSE:SQM,NYSE:MMS,NYSE:CCIF,NASDAQ:ESEA,NYSE:BBAR,NASDAQ:BIDU,NASDAQ:PDD,NYSE:DE,NYSE:BJ,NYSE:VSTS,NASDAQ:WMG,NYSE:BEKE,NASDAQ:IQ,NASDAQ:NNOX,NASDAQ:SCVL,NASDAQ:INTU,NYSE:ESTC,NYSE:GAP,NASDAQ:ROST,NASDAQ:NTAP,NASDAQ:CPRT,NYSE:UGI,NASDAQ:MATW,NYSE:NGVC,NASDAQ:LGTY,NYSE:GB,NASDAQ:ADXN

  
[https://www.tradingview.com/support/solutions/43000487233-how-to-import-or-export-watchlist/](https://www.tradingview.com/support/solutions/43000487233-how-to-import-or-export-watchlist/)

  
I know... I know.... only NVDA matters ![img](emote|t5_2th52|4260)",67,1731689397.0
Intuit will say the magic word (AI) and their stock will go parabolic.,7,1732219596.0
Why’s isn’t intuit down more? That’s a shitty report,5,1732225079.0
"I wanna buy INTU puts cause trump wants to abolish income tax and I hate the company, but they expensive af",3,1732212863.0
"INTU should be down more! Weak forecast, promotion delays, below expected profit! Shit ass company. Over valued!",3,1732224151.0
Is INTU put gonna print ![img](emote|t5_2th52|4260),4,1732219897.0
"Intu- mango wants to get rid of federal taxes and IRS still rolling out their direct filing system

Poots?",2,1731687000.0
how do we feel about intuit earnings coming up?,2,1732033098.0
Step $INTU what are you doin?,2,1732223333.0
Anyone playing intuit?,1,1732212661.0
"""which company has the biggest potential to move to the up or downside""

# ChatGPT said:

Among the companies reporting earnings tomorrow, **Elastic (ESTC)** and **Intuit (INTU)** appear to have significant potential for stock movement.

1. **Elastic (ESTC):** Analysts expect notable volatility due to its high-growth profile and focus on AI-driven enterprise software. Its performance depends on cloud adoption trends and margin improvements​.
2. **Intuit (INTU):** Intuit's results could be pivotal given its substantial institutional ownership (83%) and recent concerns over insider stock sales. Its flagship products (e.g., TurboTax) are highly sensitive to guidance revisions​.

Both companies are in sectors with growth drivers but face differing risks, making them likely candidates for big price reactions post-earnings.

""in which direction""

# ChatGPT said:

1. **Elastic (ESTC):** Likely **upside potential** if it beats expectations for revenue growth and cloud adoption, as it has historically responded positively to strong results. However, high valuations could magnify downside if it misses guidance​.
2. **Intuit (INTU):** Mixed sentiment. Strong results in its small business and AI offerings could push it **up**, but recent insider sales and sector-wide competitive pressures suggest possible **downside risk**​.

Markets currently favor **Elastic** for upside and are cautious on **Intuit**.

""how big of a positive move do you think is possible given all the information available to you""

# ChatGPT said:

1. **Elastic (ESTC):** Potential for a **10-15% upside**, as growth stocks in the software sector often react strongly to earnings beats, particularly if revenue growth or margins exceed expectations. Recent AI-driven product developments could amplify optimism​.
2. **Intuit (INTU):** A **5-10% positive move** is plausible if its small business ecosystem and AI tools outperform expectations. However, its high market cap may limit extreme upside unless guidance surprises significantly

Ok I guess...",1,1732214511.0
"Short intuit? Tax code about to get skewered, no?",0,1731699884.0
"Thanks for the pic re: earnings thread. Not sure what's going to happen with NVDA because semi's have rolled over of late. Could go either way, but I wouldn't bet against Jenson. I'll be looking at TCOM, WMT, VIK, INTU only because tech has been pulling back. Do you have any faves?",2,1731691346.0
INTU puts,1,1732222508.0
Opps and Intuit!,1,1732150441.0
620p 11/29 not sure if i should sell at open since last time INTU kept drilling after open,1,1732239065.0
